Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:47:20,1,1,TRACE1,410.897,275.108,-22.234,-,16.5476,16.7364,16.8155,16.5898,,32.0006,31.2873,31.6813,33.0644,,34.3464,33.8517,34.1132,35.7656,,37.6509,37.0000,36.9100,38.6187,,,55.1242,55.4338,55.9442,,,52.6748,52.7448,53.5253,,,49.3455,49.7749,50.6357,,0.4103,0.4297,0.3740,0.3564,,0.5099,0.5339,0.4599,0.4490,,3.3236,3.5884,2.8447,3.1117,,1.4599,1.6803,1.3119,1.5783,,1.8637,1.9081,1.5328,1.5333,,3.0802,3.1851,2.6833,2.8031,,0.7462,0.7295,0.7787,0.6801,0.7501,0.9480,0.9189,0.9754,0.8641,0.9466,5.9087,6.1276,7.3108,5.7348,6.4766,2.8239,2.8556,3.5418,2.7516,2.9756,3.0847,3.2719,3.7690,2.9832,3.5010,5.5500,5.6464,6.1223,5.5279,5.7399,34.8257,34.1437,34.2957,35.8416,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:47:42,1,1,TRACE2,410.790,271.962,-22.231,-,16.2491,16.6006,16.7509,16.5801,,35.9273,36.4602,35.9563,35.7280,,38.1645,38.7073,38.2528,38.0555,,40.5959,40.9775,40.3931,40.2002,,,64.5360,64.9113,64.8800,,,62.5371,62.5271,62.4744,,,60.0013,60.3609,60.2401,,0.4072,0.4373,0.4211,0.3648,,0.5150,0.5348,0.5173,0.4521,,3.6416,3.5521,3.5014,2.7688,,1.8056,1.8390,1.8219,1.3327,,1.8360,1.7131,1.6795,1.4362,,3.1575,3.0920,3.0495,2.5973,,0.6761,0.7269,0.6775,0.8736,0.8358,0.8533,0.9090,0.8532,1.0872,1.0460,5.6840,5.7350,5.9086,6.9089,6.7762,2.7567,2.8397,2.7479,3.2627,3.2567,2.9273,2.8952,3.1607,3.6462,3.5195,5.1286,5.4682,5.5584,6.6249,6.0673,38.2616,38.7188,38.1747,37.9641,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:48:03,1,1,TRACE3,416.843,272.353,-22.235,-,16.6755,16.5887,16.7425,16.7638,,35.0873,34.4808,34.2550,34.1893,,36.7791,36.0959,35.8867,35.6771,,39.0133,37.9916,37.9876,37.7301,,,64.6213,66.9712,65.2604,,,63.0214,65.3089,63.7808,,,61.0221,63.2630,61.8161,,0.3669,0.4267,0.3908,0.4062,,0.4577,0.5270,0.4832,0.5018,,3.3780,3.6781,3.5198,3.2950,,1.6011,1.7254,1.7012,1.7311,,1.7769,1.9527,1.8187,1.5639,,2.9384,3.1399,3.0350,2.9571,,0.6865,0.6946,0.7398,0.7027,0.7099,0.9072,0.8720,0.9190,0.8852,0.8902,7.7600,6.4634,6.6827,6.6295,6.3983,3.7295,3.1028,3.2011,3.1496,3.2180,4.0306,3.3606,3.4817,3.4799,3.1804,6.5736,5.8059,6.1767,5.9139,5.7394,37.0503,36.2362,36.1213,35.9597,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:48:25,1,1,TRACE4,420.501,272.554,-22.235,-,16.3060,16.5371,16.6097,16.3651,16.3474,36.0401,33.5999,35.7874,33.5943,,37.3846,35.0624,37.3566,35.1603,,39.1509,37.0384,39.4009,37.3804,,,65.4471,66.1318,65.5899,65.1815,,64.0265,64.5575,64.0327,63.7792,,62.0675,62.5202,61.8237,61.8779,0.4473,0.3912,0.4033,0.4123,1.6428,0.5483,0.4868,0.5034,0.5110,2.0547,3.5696,3.4672,3.5597,3.2176,12.7093,1.7043,1.6594,1.6985,1.5303,4.8515,1.8653,1.8078,1.8612,1.6873,7.8578,3.1701,3.0694,3.0457,2.9589,10.8778,0.6978,0.6412,0.7194,0.6982,0.6990,0.8746,0.7978,0.9116,0.8895,0.8914,5.8695,5.5060,5.9861,5.7653,5.9681,2.9778,2.7387,2.9386,2.7791,2.8856,2.8916,2.7673,3.0476,2.9862,3.0826,5.5243,5.0317,5.7541,5.5327,5.5757,37.5955,35.3191,37.5942,35.4873,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:48:47,1,1,TRACE5,410.785,262.272,-22.226,-,16.2378,16.3887,16.1095,16.2446,,46.2973,46.8843,48.2274,46.5175,,48.5224,49.0506,50.6094,48.9073,,50.6198,51.0611,52.6272,50.8765,,,78.0117,77.0351,78.5029,,,75.9499,74.7366,76.2067,,,73.9339,72.7460,74.1989,,0.3712,0.4243,0.3509,0.3909,,0.4621,0.5289,0.4412,0.4897,,2.9714,3.5072,3.2906,3.4481,,1.4454,1.7402,1.6327,1.6766,,1.5260,1.7669,1.6578,1.7715,,2.8721,3.1972,2.9105,3.0945,,0.7418,0.7778,0.7422,0.6922,0.7126,0.9450,0.9605,0.9377,0.8707,0.8889,6.4014,5.8849,6.3292,6.0318,5.8344,3.2447,2.9023,3.1267,3.0670,2.9240,3.1567,2.9826,3.2025,2.9649,2.9104,5.8182,5.7340,5.6990,5.3822,5.0755,48.4586,48.9727,50.4273,48.6970,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:49:08,1,1,TRACE6,411.152,262.398,-22.224,-,16.2008,16.5112,16.4833,16.2687,,47.7248,46.5284,47.1334,48.1903,,49.8118,48.7057,49.1834,50.7258,,51.7619,50.7135,51.2582,52.8669,,,78.1054,77.8578,77.3943,,,75.9766,75.8203,74.9196,,,73.9849,73.7834,72.6528,,0.3788,0.4074,0.3668,0.3746,,0.4756,0.5128,0.4588,0.4661,,2.9784,3.3849,2.7781,2.9829,,1.4759,1.6173,1.3867,1.4347,,1.5025,1.7676,1.3914,1.5482,,2.9012,3.1274,2.7219,2.8159,,1.0082,0.8427,0.8084,0.6729,0.7051,1.2862,1.0515,1.0258,0.8446,0.8937,8.3225,6.9056,6.4291,5.3661,5.8263,4.0753,3.2778,3.1086,2.6837,2.7661,4.2472,3.6278,3.3205,2.6824,3.0601,7.8600,6.1361,6.0190,5.2235,5.3530,49.7434,48.6209,49.1958,50.5286,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:49:29,1,1,TRACE7,416.880,259.623,-22.223,-,16.4922,16.4180,16.7844,16.6241,,58.2249,59.8767,57.8552,57.8032,,60.1229,61.7945,59.7494,59.6732,,62.5027,64.0113,62.2926,62.0676,,,90.8486,91.1925,92.9343,,,88.8899,89.3308,91.0254,,,86.5663,87.0050,88.5434,,0.4655,0.4748,0.4283,0.3718,,0.5781,0.5908,0.5351,0.4663,,4.2041,4.5034,4.3430,3.8874,,2.1456,2.3733,2.4609,2.3528,,2.0585,2.1302,1.8820,1.5346,,3.6909,3.7059,3.5426,3.0528,,0.6668,0.5848,0.5628,0.5832,0.5936,0.8404,0.7377,0.7130,0.7358,0.7589,6.1215,6.8731,7.2768,7.1907,7.3769,3.3175,3.0148,3.5896,3.9231,4.3575,2.8040,3.8583,3.6871,3.2676,3.0194,5.6804,5.6015,6.0292,5.2407,5.8622,60.3638,61.9440,60.0739,59.9354,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:49:51,1,1,TRACE8,420.546,259.837,-22.223,-,16.3936,16.5840,16.3711,16.0870,,58.0932,58.3059,58.0217,58.7098,,59.8638,60.1289,59.8882,60.5786,,62.1469,62.6999,62.3789,63.0075,,,92.8797,92.8499,91.7307,,,91.1303,91.0175,89.8685,,,88.9195,88.4239,87.5178,,0.3940,0.4201,0.4349,0.4176,,0.4934,0.5221,0.5410,0.5165,,3.4178,3.3547,3.3534,3.3418,,1.7547,1.7021,1.6675,1.6320,,1.6631,1.6527,1.6859,1.7098,,3.1222,3.1515,3.2245,3.1557,,0.6598,0.5562,0.5533,0.5784,0.5838,0.8506,0.7030,0.7016,0.7290,0.7374,5.6219,4.7682,5.0675,4.7969,5.6351,2.7677,2.3658,2.4515,2.3899,2.7888,2.8542,2.4023,2.6160,2.4071,2.8463,5.4836,4.5905,4.7236,4.6134,5.1788,60.1201,60.5029,60.2003,60.8587,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:50:13,1,1,TRACE9,353.875,275.145,-22.235,-,16.6422,16.6748,16.8530,16.5899,,33.2082,31.0986,33.4097,34.3219,,35.6385,33.3475,35.9905,36.8674,,38.2264,36.3276,38.4675,39.4366,,,54.1495,54.9401,53.8546,,,51.9637,52.5141,51.2788,,,49.0403,49.8122,48.8609,,0.3994,0.3827,0.5035,0.4141,,0.4936,0.4790,0.6088,0.5115,,3.0590,3.1824,3.7126,3.1895,,1.5170,1.6361,1.9113,1.5346,,1.5420,1.5463,1.8012,1.6549,,2.9119,2.9739,3.3921,3.0308,,0.7206,0.7163,0.7021,0.8044,0.7333,0.9054,0.9010,0.8681,0.9958,0.9236,5.8980,5.7229,5.6493,6.4242,5.9114,2.9056,2.8287,2.7448,3.1111,2.8779,2.9924,2.8942,2.9044,3.3131,3.0335,5.3810,5.5352,5.1981,5.9979,5.5589,35.7173,33.7131,35.9386,36.8792,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_3_FR,2016-05-24 13:50:34,1,1,TRACE10,354.293,271.594,-22.235,-,16.4126,16.4545,16.6750,16.7230,,35.7990,35.8055,35.0659,32.2891,,38.0593,37.9458,37.2796,34.0344,,40.2454,40.1308,39.4123,35.7409,,,63.1744,65.1563,64.7999,,,60.9798,63.0368,62.5793,,,59.0003,60.8242,60.6188,,0.3876,0.4369,0.3811,0.4142,,0.4778,0.5499,0.4678,0.5118,,3.0173,3.4334,3.0056,3.0807,,1.4553,1.5720,1.4648,1.5151,,1.5620,1.8614,1.5408,1.5656,,2.8040,3.2302,2.7801,2.9737,,0.6353,0.6011,0.7350,0.7383,0.7816,0.8120,0.7680,0.9210,0.9236,0.9744,5.6340,5.2586,6.8065,6.0498,6.3006,2.7695,2.6276,3.1300,2.9692,3.1572,2.8645,2.6310,3.6765,3.0806,3.1434,5.1883,4.8422,6.0894,5.7715,5.7595,38.0222,37.9681,37.2391,34.0150,,
