Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:57:33,1,1,TRACE1,411.912,275.015,-22.231,-,16.4227,16.4613,16.3741,16.4376,,29.4651,29.3747,30.0345,30.6794,,32.1452,32.0693,32.8606,33.5476,,34.3756,34.4158,35.0616,36.0793,,,57.6521,57.5986,56.9669,,,54.9976,54.7343,54.1174,,,52.7040,52.3876,51.9341,,0.4211,0.4154,0.3837,0.4057,,0.5194,0.5149,0.4767,0.5021,,3.2071,3.2787,3.0429,3.5220,,1.5155,1.6541,1.5483,1.7646,,1.6916,1.6247,1.4945,1.7574,,2.9715,3.0531,2.7450,3.0071,,0.9954,0.6357,0.6706,0.6143,0.7505,1.2552,0.7936,0.8424,0.7851,0.9452,8.0662,5.3349,5.7220,5.3669,6.1885,4.0051,2.5393,2.8972,2.6578,2.9613,4.0611,2.7957,2.8248,2.7091,3.2272,7.6669,4.9405,5.2962,5.0330,5.9345,31.9203,31.8952,32.5480,33.3794,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:57:55,1,1,TRACE2,411.800,271.868,-22.234,-,16.6466,16.6837,16.3817,16.6030,,35.1576,35.7069,35.2004,34.4119,,38.0148,38.3000,37.8236,36.9651,,40.3716,40.6269,40.2461,39.0751,,,64.3463,64.7632,66.8629,,,61.4058,62.2789,64.2967,,,59.1067,59.8302,62.1414,,0.3994,0.3838,0.3777,0.4183,,0.4917,0.4771,0.4755,0.5118,,3.3080,3.0048,3.0790,3.2798,,1.6830,1.4931,1.4884,1.6399,,1.6250,1.5117,1.5905,1.6399,,2.8952,2.8305,2.8682,2.9262,,0.7429,0.6495,0.6716,0.7342,0.7284,0.9492,0.8183,0.8564,0.9222,0.9095,6.8308,5.6548,5.8436,6.0637,5.9028,3.4039,2.8394,2.7534,2.9651,2.7802,3.4269,2.8154,3.0902,3.0986,3.1226,6.2665,5.2104,5.5914,5.6611,5.4950,37.7646,38.1669,37.7233,36.7435,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:58:16,1,1,TRACE3,417.857,272.250,-22.231,-,16.9680,16.5422,16.4498,16.6112,16.6341,35.7299,34.8809,35.7416,34.1097,,37.6199,36.8357,37.6754,36.0763,,39.5474,38.6102,39.4113,37.7740,,,63.5505,65.7902,65.4123,65.9166,,61.6789,63.8262,63.4368,64.0117,,,59.8200,62.0435,61.6938,0.3830,0.4412,0.4059,0.4251,0.3830,0.4699,0.5431,0.5017,0.5311,0.4753,3.3203,3.6882,3.2507,3.9523,3.0641,1.6325,1.7012,1.5358,1.7303,1.4921,1.6878,1.9871,1.7150,2.2221,1.5719,2.9854,3.2154,3.0126,3.3072,2.7304,2.0116,0.6759,0.6956,0.7341,0.7517,2.5004,0.8441,0.8826,0.9208,0.9496,14.0379,6.4729,7.3396,7.0457,6.8555,8.1824,2.9344,3.8356,3.2227,3.0638,5.8555,3.5385,3.5040,3.8229,3.7917,11.1169,5.6408,6.1060,6.0486,6.2136,37.6386,36.7456,37.5764,35.9419,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:58:38,1,1,TRACE4,421.516,272.446,-22.231,-,16.6274,16.7604,16.8732,16.7479,16.4504,34.6977,36.8287,35.3095,36.1592,,36.6653,38.7050,37.0308,37.8577,,38.5879,40.6215,38.7203,39.6060,,,64.2524,64.1906,64.3766,64.7738,,62.4431,62.3456,62.7156,63.0729,,60.5034,60.6779,61.0364,61.3349,0.4272,0.3965,0.3651,0.4078,0.4093,0.5365,0.4966,0.4527,0.4982,0.5052,4.0891,3.9067,3.3480,3.7749,3.4083,1.8661,1.8733,1.5744,1.7595,1.6388,2.2230,2.0333,1.7736,2.0154,1.7695,3.3743,3.3407,2.9939,3.1353,2.9862,1.0485,0.8241,0.8264,0.8815,0.8550,1.3701,1.0377,1.0382,1.0907,1.0632,10.0372,7.5725,6.5427,6.7505,7.1600,5.0743,3.7944,3.1015,3.2766,3.4113,4.9629,3.7782,3.4412,3.4739,3.7487,8.5754,6.9987,6.2404,6.3952,6.2350,36.6428,38.7251,37.0149,37.8826,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:58:59,1,1,TRACE5,411.782,262.174,-22.226,-,16.6896,16.1928,16.4743,16.5765,,44.9312,47.1012,48.1510,45.4876,,46.6944,49.4240,50.3710,47.5778,,48.3749,51.3918,52.3193,49.6501,,,79.5853,76.4120,78.7940,,,,,77.2358,74.1931,,,75.1762,72.3150,74.7495,0.4678,0.4474,0.4218,0.4784,,0.5752,0.5501,0.5255,0.5884,,3.7712,3.7725,3.7287,4.1693,,1.8502,1.9437,1.9247,2.0697,,1.9209,1.8288,1.8040,2.0996,,3.4712,3.4940,3.2183,3.4565,,,,,0.6639,0.7316,,,,0.8290,0.9169,,,,5.6897,6.7214,,,,2.7206,3.0439,,,,2.9691,3.6775,,,,5.2414,5.8134,46.6531,49.2465,50.2352,47.5689,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:59:20,1,1,TRACE6,412.149,262.300,-22.227,-,16.9218,16.5149,16.4194,16.6899,,,44.4820,47.0718,47.8789,,,46.8006,49.5045,50.0745,,,48.9740,51.5938,52.1132,,79.6157,79.1016,77.1278,,,77.3691,76.6794,74.7805,,,75.2572,74.5448,72.7239,49.6383,,0.4130,0.3884,0.4473,0.3541,,0.5104,0.4817,0.5428,0.4388,,3.1785,3.3176,3.3761,3.0740,,1.5724,1.7251,1.7723,1.5584,,1.6061,1.5925,1.6038,1.5156,,3.0448,3.0041,3.1716,2.7961,,0.7514,0.7063,0.6746,0.7138,,0.9353,0.8785,0.8508,0.8928,,6.0681,5.4081,5.5878,5.8163,,2.9706,2.7049,2.7531,2.8627,,3.0975,2.7032,2.8348,2.9536,,5.7127,5.3102,5.3346,5.4205,,,46.7280,49.3328,49.9961,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 06:59:41,1,1,TRACE7,417.876,259.514,-22.225,-,16.4388,16.8084,16.4860,16.7616,16.7631,58.4638,58.9734,58.6020,61.4199,,60.3083,60.9546,60.6268,63.4528,,62.5516,63.5967,63.1864,66.0520,,,91.4944,92.2657,90.4806,90.8993,,89.6255,90.2393,88.3827,89.0127,,87.2837,87.5711,85.7069,86.6298,0.4296,0.4221,0.4648,0.4309,1.2276,0.5266,0.5216,0.5718,0.5333,1.6204,3.1956,3.4506,3.5622,3.3484,9.6841,1.4518,1.6522,1.7423,1.6425,3.3401,1.7438,1.7984,1.8198,1.7059,6.3440,3.0004,3.1615,3.3890,3.1711,8.4572,0.9580,0.7490,0.6799,0.6895,0.7453,1.2557,0.9333,0.8489,0.8754,0.9299,9.3399,6.1701,5.8205,5.6786,6.1043,5.2091,2.9853,2.9335,2.8286,3.0791,4.1308,3.1847,2.8869,2.8500,3.0252,8.0510,5.6934,5.4182,5.3879,5.6007,60.5077,61.2850,60.8942,63.7360,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 07:00:03,1,1,TRACE8,421.543,259.723,-22.223,-,16.6155,16.1352,16.4992,16.4893,16.0858,58.2572,58.6030,59.3584,58.0757,,60.0214,60.5814,61.2147,60.0182,,62.3060,62.9418,63.6355,62.5698,,,92.4570,90.8417,91.0691,93.3991,,90.5143,88.9665,89.2078,91.4540,,88.0147,86.6690,86.7268,89.0409,0.4784,0.4640,0.5082,0.4599,0.3751,0.5878,0.5803,0.6269,0.5662,0.4652,4.0088,4.3426,4.7299,4.3097,4.0866,1.9702,2.1711,2.4927,2.1433,1.4888,2.0385,2.1715,2.2372,2.1665,2.5978,3.5231,3.8465,4.0241,3.6295,2.9432,0.9002,0.5681,0.6350,0.6314,0.6076,1.1930,0.7194,0.7932,0.8062,0.7760,9.6356,6.8475,6.7040,7.9960,6.5097,5.2946,3.1603,3.6803,3.8712,3.1631,4.3410,3.6872,3.0237,4.1248,3.3467,8.0913,5.6393,6.0685,6.0129,5.5473,60.2816,60.7724,61.4969,60.3228,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 07:00:24,1,1,TRACE9,354.867,275.134,-22.233,-,16.5857,16.4671,16.6275,16.5289,,31.7798,31.6579,31.1262,31.1199,,34.7577,34.8093,34.1595,34.3160,,38.0100,38.0177,37.2232,37.5023,,,55.3923,55.5137,56.6040,,,52.2475,52.4194,53.5042,,,49.0366,49.2744,50.4680,,0.4340,0.3828,0.3881,0.4196,,0.5423,0.4791,0.4834,0.5194,,3.5556,3.1888,3.0253,3.2255,,1.7555,1.4137,1.5124,1.5002,,1.8001,1.7752,1.5129,1.7253,,3.2626,2.9016,2.8321,3.0261,,1.0172,0.6823,0.6749,0.6610,0.6516,1.2844,0.8468,0.8342,0.8420,0.8222,8.1168,6.4312,5.9143,5.6977,5.9921,4.1144,3.1443,2.8981,2.8379,2.8325,4.0024,3.2869,3.0163,2.8598,3.1595,7.1009,5.3377,5.3291,5.3145,5.4328,34.8949,34.8378,34.1747,34.3111,,
Mandl,Small Etching Device_ORB0004_Innenlage_FR,Innenlage,Etching_Trials,FR,Front,Misch-d_6_FR,2016-05-25 07:00:45,1,1,TRACE10,355.280,271.582,-22.233,-,16.3550,16.4450,16.2822,16.3053,,37.8404,37.6892,37.4021,33.9519,,40.6979,40.5554,40.0856,36.1952,,43.5263,43.3710,43.0876,38.4459,,,61.9306,62.7254,63.8121,,,58.9551,60.0549,61.0142,,,56.0270,57.2056,58.1227,,0.4317,0.3998,0.3846,0.3838,,0.5320,0.4914,0.4787,0.4732,,3.2738,3.1156,3.2219,3.0998,,1.5583,1.5400,1.6098,1.4537,,1.7156,1.5755,1.6121,1.6461,,3.0676,2.9175,2.9153,2.8959,,1.4594,0.6902,0.6653,0.7287,0.7132,1.8004,0.8601,0.8340,0.9143,0.9016,10.7195,5.4276,5.3937,6.0546,6.1002,4.8017,2.5927,2.5741,3.0029,2.9980,5.9178,2.8349,2.8195,3.0517,3.1022,9.3444,5.2429,5.1008,5.7677,5.8680,40.6833,40.5301,40.2448,36.1989,,
